HATE_SPEECH,COUNTER_NARRATIVE,VERSION,TARGET,CATEGORIES,EMOTIONS,GENERATED_COUNTER_NARRATIVE
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",V1,other,"['Race and Ethnicity', 'National Origin and Culture']","['Contempt', 'Resentment', 'Superiority']","Blaming Asian and African nations for ocean pollution ignores the fact that many developed countries export their waste to these regions. Climate change is a global issue that requires cooperation from all nations, not finger-pointing. Let's focus on solutions that involve everyone, rather than spreading misinformation."
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,V1,JEWS,['Religion and Belief'],"['Contempt', 'Disgust', 'Superiority']","Comparing people to weapons of mass destruction is not only absurd but also deeply offensive. Detroit's challenges are complex and rooted in economic and social factors, not the influence of any ethnic group. Let's focus on building communities through understanding and cooperation, not baseless blame."
Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Anger', 'Resentment']","Imagine thinking that 400,000 people could single-handedly drain a system designed to support millions. Maybe it's time to focus on the real issues, like ensuring everyone gets the help they need, regardless of where they're from."
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",V1,JEWS,"['Religion and Belief', 'National Origin and Culture']","['Contempt', 'Superiority']","Patriotism isn't defined by religion or ethnicity; it's about love and commitment to one's country. Many Jewish individuals have proudly served and contributed to their nations worldwide, demonstrating that allegiance is a personal choice, not dictated by stereotypes."
"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,V1,JEWS,"['Religion and Belief', 'National Origin and Culture']","['Anger', 'Contempt', 'Resentment']","Blaming a single group for global issues is like saying one ingredient ruins the whole recipe—it's just not how the world works. Terrorism and conflict are complex problems with many causes, including political, economic, and social factors. Let's focus on understanding these complexities rather than scapegoating entire communities."
"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,V1,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']","Women have been leaders, scientists, and warriors throughout history, proving that strength and intelligence are not bound by gender. Emotions are a human trait, not a weakness, and they have driven progress in every civilization. Perhaps it's time to update your history books and join the 21st century."
"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",V1,POC,"['Race and Ethnicity', 'Disability (Physical and Mental Health)', 'National Origin and Culture']","['Contempt', 'Superiority']","Seeing differences in people is not a mental illness; it's recognizing the beauty of diversity. Race may be a social construct, but cultural and individual uniqueness are real and worth celebrating. Embracing diversity enriches our understanding of the world and each other."
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,V1,WOMEN,"['Gender and Gender Identity', 'Race and Ethnicity']","['Anger', 'Contempt', 'Resentment', 'Superiority']","Ah yes, because clearly the best way to show strength is by belittling others. Maybe instead of blaming women for your insecurities, try embracing equality and see how much more powerful collaboration can be."
"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine powerful, white men. They are just envious, incompetent and useless.",What makes you think that women are jealous of men? What qualities do you value as a White Male?,V1,WOMEN,"['Gender and Gender Identity', 'Race and Ethnicity']","['Anger', 'Contempt', 'Resentment', 'Superiority']","Imagine being so insecure that you think equality is a threat. Maybe it's time to realize that strength isn't about holding others down, but lifting everyone up. Envy and incompetence? Sounds more like projecting than reality."
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,V1,other,"['Race and Ethnicity', 'National Origin and Culture']","['Anger', 'Contempt', 'Superiority', 'Resentment']",Imagine thinking supremacy is a valid concept in any country—sounds like someone missed the memo on equality and human rights. Diversity isn't a threat; it's what makes societies thrive. Maybe it's time to embrace the 21st century and celebrate our differences instead of fearing them.
What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,V1,JEWS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Disgust', 'Superiority']","Comparing a cow to the Holocaust is not only insensitive but also deeply disrespectful to the millions who suffered and died. The Holocaust was a horrific event in human history, and trivializing it with such jokes only spreads ignorance and hate. Let's honor the memory of those lost by promoting understanding and compassion instead."
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"Who is 'we', surely it was men and women working together that built civilisation? Why is it you think being 'soft' is a problem? Everyone is entitled to their emotions, and men shouldn't have to 'man up'.",V1,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']","Imagine thinking that half the population shouldn't have a say in the society they live in—sounds like a recipe for disaster, not progress. Women have been pivotal in shaping civilizations, from leading movements to innovating in science and technology. Maybe it's time to appreciate the strength in diversity rather than clinging to outdated stereotypes."
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,V1,JEWS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Resentment', 'Anger']","Jews, like any other community, live in diverse neighborhoods and contribute positively to society. The idea that they control housing policies is a baseless stereotype. Let's focus on building inclusive communities rather than spreading unfounded myths."
Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,Where is your evidence?,V1,JEWS,"['Race and Ethnicity', 'Religion and Belief']","['Fear', 'Anger', 'Contempt', 'Resentment']","Claiming that minorities and Jewish people are orchestrating a plot to strip wealth and power is not only baseless but also a tired conspiracy theory with no grounding in reality. In truth, diverse communities contribute to the richness of society and work towards equality and justice for all. Let's focus on building a future where everyone, regardless of background, has the opportunity to thrive."
"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where are the facts?,V1,JEWS,['Religion and Belief'],"['Anger', 'Contempt', 'Resentment']","Blaming Jews for these events is not only historically inaccurate but also perpetuates harmful stereotypes. The USS Liberty incident was a tragic mistake acknowledged by both the U.S. and Israel, and the other events were carried out by different groups with no connection to Jewish communities. Let's focus on facts and work towards understanding rather than spreading baseless accusations."
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",What's your proof for claiming this?,V1,JEWS,"['Religion and Belief', 'Political Affiliation and Ideology']","['Fear', 'Anger', 'Contempt']","Imagining secret meetings and grand conspiracies might make for a thrilling novel, but in reality, people in Jerusalem, like anywhere else, are just trying to live their lives in peace. Let's focus on building bridges and understanding rather than spreading unfounded fears."
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,V1,JEWS,"['Religion and Belief', 'Age']","['Contempt', 'Disgust', 'Fear']","Imagining a world where baseless conspiracy theories replace facts is quite the plot twist, isn't it? Let's stick to reality: our leaders come from diverse backgrounds and are held accountable by democratic processes, not wild fantasies."
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,What makes you think that? Do you have any facts to back this up?,V1,JEWS,['Religion and Belief'],"['Contempt', 'Resentment']","Blaming an entire group for political outcomes is not only inaccurate but also harmful. Brexit was a decision made by millions of voters in the UK, not influenced by any single community. Let's focus on constructive dialogue and understanding rather than spreading unfounded conspiracy theories."
"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",We do have to choose. It's ok to accept them both.,V1,other,"['Religion and Belief', 'National Origin and Culture']","['Contempt', 'Disgust', 'Superiority']","Imagine thinking that loyalty to one's faith or heritage makes someone an outsider—sounds like a plot twist from a bad movie! In reality, American Jews and Muslims contribute richly to the cultural tapestry of the nation, embracing diversity and unity. Maybe it's time to celebrate our differences instead of fearing them."
