INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION,JUDGE_PROVIDER,JUDGE_MODEL,LLM_PRS,LLM_QS,LLM_SAFE,LLM_EMP,LLM_CON,LLM_PERS,LLM_SPEC,LLM_FLU,LLM_TOX,LLM_TOTAL,LLM_MAX_SCORE,LLM_PERCENTAGE,REWARD_PRS,REWARD_QS,REWARD_SAFE,REWARD_EMP,REWARD_CON,REWARD_PERS,REWARD_SPEC,REWARD_FLU,REWARD_TOX,REWARD_NON_CONFRONTATIONAL,COMBINED_REWARD_SCORE,REWARD_PERCENTAGE,FINAL_SCORE_PERCENTAGE,ERROR
0,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",other,V1,ollama,llama3.1:8b,2,2,2,1,2,2,2,2,2,17,18,94.44,0.5,0.7125785529307757,0.01580494474752832,0.08052514586597681,0.9334195011329204,0.9935939900988712,0.9503721126145167,0.6946107031388691,0.9988986181560904,0.47385352849960327,0.653312,65.33,79.88,
1,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",You'd rather be nuked then?,JEWS,V1,ollama,llama3.1:8b,0,0,0,0,0,0,0,0,1,1,18,5.56,0.65,0.2518701265208704,0.0018894999657746473,0.0,0.005145780096652076,0.6343587934305012,0.6418572844225285,0.04283361846084682,0.5946085155010223,0.29002711176872253,0.313618,31.36,18.46,
2,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"You seem to be worried about government expenditure… it has actually been shown that,over time, migration reduces pressure on government spending – because migrants are more likely to be young adult workers. https://migrationobservatory.ox.ac.uk/resources/briefings/the-fiscal-impact-of-immigration-in-the-uk/",MIGRANTS,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.7393578167071588,0.1339607650909,0.5069970006588846,0.7353051875690895,0.9757638396042366,0.977791072453742,0.3004001572440119,0.9994087141822092,0.9824160558637232,0.668776,66.88,83.44,
3,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in.",JEWS,V1,ollama,llama3.1:8b,2,2,2,1,2,2,2,2,2,17,18,94.44,0.65,0.8263579083608239,0.9444403751192516,0.7377991365501657,0.9950563364457907,0.9876001387551124,0.988764554829328,0.8417375795863244,0.9987902950961143,0.982049428857863,0.885616,88.56,91.5,
4,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",Wouldn't you say its colonialism from many different countries and the consequesequences of Western intervention abroad which led to a lot of radicalisation and extremism?,JEWS,V1,ollama,llama3.1:8b,0,1,1,0,0,0,0,2,0,4,18,22.22,0.65,0.3662358049205248,0.0007160783456459258,0.5826907322043553,0.03317083290652114,0.8612280810280387,0.8877413314991023,0.1007167262387903,0.9989027746487409,0.8851281888782978,0.497934,49.79,36.0,
5,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",Would you say the same thing to the women who gave you life or treat you in hospital or taught you in school?,WOMEN,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.3669102378474625,0.04514919102316492,0.5624515484087169,0.880089677845984,0.899705933927961,0.9147377832724026,0.09530712766159273,0.7846278995275497,0.8635730668902397,0.577664,57.77,78.89,
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1,ollama,llama3.1:8b,1,2,2,0,1,1,2,2,0,11,18,61.11,0.65,0.7753027559876673,0.06040765678566727,0.7158533646725118,0.9966458540303047,0.9900624087404556,0.974376816846577,0.7729643123423,0.9993099683779292,0.9752750303596258,0.770547,77.05,69.08,
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.73949746303759,0.5875730626768859,0.2234966056421399,0.7838874496571407,0.9621466603293555,0.9423268656846588,0.5502932570154119,0.1388760209083557,0.5805763825774193,0.619789,61.98,80.99,
8,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.",Without women there would be no men.,WOMEN,V1,ollama,llama3.1:8b,2,1,2,0,0,0,0,2,2,9,18,50.0,0.65,0.6030740242198045,0.14683182779442389,0.7197764106094837,0.810516812824541,0.9839141669829173,0.8947644171039469,0.5006294767554949,0.8938804045319557,0.9461111556738615,0.689265,68.93,59.47,
9,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",WIthout softeness and emotions there would just be brutality and cruelty. Not all women are soft and emotional and many men have these characteristics. To perpetuate these socially constructed gender profiles maintains patriarchal norms which oppress both men and women.,WOMEN,V1,ollama,llama3.1:8b,2,2,2,2,2,2,2,2,2,18,18,100.0,0.65,0.25396740595782025,0.001775876758184495,0.0,0.17884082565654055,0.48849864811731075,0.8154112327629592,0.11425849433677497,0.9964078997727484,0.06309852004051208,0.388796,38.88,69.44,
